"Row_no" "Date" "Detrended_demand_GWh"
"302" "1975-10-29" "866"
"303" "1975-10-30" "839"
"304" "1975-10-31" "826"
"305" "1975-11-01" "832"
"306" "1975-11-02" "831"
"307" "1975-11-03" "837"
"308" "1975-11-04" "871"
"309" "1975-11-05" "869"
"310" "1975-11-06" "869"
"311" "1975-11-07" "875"
"312" "1975-11-08" "885"
"313" "1975-11-09" "885"
"314" "1975-11-10" "895"
"315" "1975-11-11" "926"
"316" "1975-11-12" "936"
"317" "1975-11-13" "948"
"318" "1975-11-14" "956"
"319" "1975-11-15" "956"
"320" "1975-11-16" "956"
"321" "1975-11-17" "956"
"322" "1975-11-18" "961"
"323" "1975-11-19" "951"
"324" "1975-11-20" "924"
"325" "1975-11-21" "937"
"326" "1975-11-22" "929"
"327" "1975-11-23" "929"
"328" "1975-11-24" "920"
"329" "1975-11-25" "935"
"330" "1975-11-26" "945"
"331" "1975-11-27" "967"
"332" "1975-11-28" "954"
"333" "1975-11-29" "977"
"334" "1975-11-30" "977"
"335" "1975-12-01" "999"
"336" "1975-12-02" "980"
"337" "1975-12-03" "991"
"338" "1975-12-04" "982"
"339" "1975-12-05" "944"
"340" "1975-12-06" "945"
"341" "1975-12-07" "945"
"342" "1975-12-08" "946"
"343" "1975-12-09" "991"
"344" "1975-12-10" "982"
"345" "1975-12-11" "976"
"346" "1975-12-12" "986"
"347" "1975-12-13" "996"
"348" "1975-12-14" "996"
"349" "1975-12-15" "1006"
"350" "1975-12-16" "1026"
"351" "1975-12-17" "1028"
"352" "1975-12-18" "1037"
"353" "1975-12-19" "988"
"354" "1975-12-20" "956"
"355" "1975-12-21" "956"
"356" "1975-12-22" "954"
"357" "1975-12-23" "952"
"358" "1975-12-24" "950"
"359" "1975-12-25" "948"
"360" "1975-12-26" "946"
"361" "1975-12-27" "944"
"362" "1975-12-28" "942"
"363" "1975-12-29" "940"
"364" "1975-12-30" "938"
"365" "1975-12-31" "935"
"366" "1976-01-01" "933"
"367" "1976-01-02" "931"
"368" "1976-01-03" "929"
"369" "1976-01-04" "927"
"370" "1976-01-05" "925"
"371" "1976-01-06" "932"
"372" "1976-01-07" "938"
"373" "1976-01-08" "933"
"374" "1976-01-09" "920"
"375" "1976-01-10" "909"
"376" "1976-01-11" "909"
"377" "1976-01-12" "898"
"378" "1976-01-13" "912"
"379" "1976-01-14" "927"
"380" "1976-01-15" "939"
"381" "1976-01-16" "936"
"382" "1976-01-17" "937"
"383" "1976-01-18" "937"
"384" "1976-01-19" "938"
"385" "1976-01-20" "948"
"386" "1976-01-21" "962"
"387" "1976-01-22" "940"
"388" "1976-01-23" "941"
"389" "1976-01-24" "976"
"390" "1976-01-25" "975"
"391" "1976-01-26" "1010"
"392" "1976-01-27" "1003"
"393" "1976-01-28" "1031"
"394" "1976-01-29" "1044"
"395" "1976-01-30" "1071"
"396" "1976-01-31" "1061"
"397" "1976-02-01" "1061"
"398" "1976-02-02" "1051"
"399" "1976-02-03" "1072"
"400" "1976-02-04" "1066"
"401" "1976-02-05" "1066"
"402" "1976-02-06" "1020"
"403" "1976-02-07" "992"
"404" "1976-02-08" "991"
"405" "1976-02-09" "964"
"406" "1976-02-10" "947"
"407" "1976-02-11" "982"
"408" "1976-02-12" "993"
"409" "1976-02-13" "974"
"410" "1976-02-14" "986"
"411" "1976-02-15" "986"
"412" "1976-02-16" "999"
"413" "1976-02-17" "1023"
"414" "1976-02-18" "1005"
"415" "1976-02-19" "984"
"416" "1976-02-20" "965"
"417" "1976-02-21" "933"
"418" "1976-02-22" "933"
"419" "1976-02-23" "901"
"420" "1976-02-24" "889"
"421" "1976-02-25" "883"
"422" "1976-02-26" "880"
"423" "1976-02-27" "880"
"424" "1976-02-28" "876"
"426" "1976-03-01" "872"
"427" "1976-03-02" "901"
"428" "1976-03-03" "907"
"429" "1976-03-04" "905"
"430" "1976-03-05" "898"
"431" "1976-03-06" "925"
"432" "1976-03-07" "924"
"433" "1976-03-08" "951"
"434" "1976-03-09" "960"
"435" "1976-03-10" "952"
"436" "1976-03-11" "945"
"437" "1976-03-12" "939"
"438" "1976-03-13" "935"
"439" "1976-03-14" "935"
"440" "1976-03-15" "931"
"441" "1976-03-16" "948"
"442" "1976-03-17" "944"
"443" "1976-03-18" "919"
"444" "1976-03-19" "930"
"445" "1976-03-20" "927"
"446" "1976-03-21" "927"
"447" "1976-03-22" "925"
"448" "1976-03-23" "950"
"449" "1976-03-24" "946"
"450" "1976-03-25" "914"
"451" "1976-03-26" "874"
"452" "1976-03-27" "865"
"453" "1976-03-28" "865"
"454" "1976-03-29" "855"
"455" "1976-03-30" "869"
"456" "1976-03-31" "867"
"457" "1976-04-01" "856"
"458" "1976-04-02" "860"
"459" "1976-04-03" "852"
"460" "1976-04-04" "852"
"461" "1976-04-05" "843"
"462" "1976-04-06" "847"
"463" "1976-04-07" "859"
"464" "1976-04-08" "859"
"465" "1976-04-09" "833"
"466" "1976-04-10" "824"
"467" "1976-04-11" "824"
"468" "1976-04-12" "821"
"469" "1976-04-13" "818"
"470" "1976-04-14" "816"
"471" "1976-04-15" "813"
"472" "1976-04-16" "810"
"473" "1976-04-17" "807"
"474" "1976-04-18" "804"
"475" "1976-04-19" "802"
"476" "1976-04-20" "799"
"477" "1976-04-21" "796"
"478" "1976-04-22" "793"
"479" "1976-04-23" "813"
"480" "1976-04-24" "814"
"481" "1976-04-25" "815"
"482" "1976-04-26" "816"
"483" "1976-04-27" "849"
"484" "1976-04-28" "837"
"485" "1976-04-29" "824"
"486" "1976-04-30" "805"
"487" "1976-05-01" "799"
"488" "1976-05-02" "799"
"489" "1976-05-03" "793"
"490" "1976-05-04" "796"
"491" "1976-05-05" "788"
"492" "1976-05-06" "767"
"493" "1976-05-07" "734"
"494" "1976-05-08" "723"
